#A 140.000000
#F 3.000000
#T 10
#B 128
#N 101
# WN 10
  10,  154,  153
  20,  179,  178
  30,  203,  201
  40,  223,  222
  50,  241,  239
  60,  254,  250
  70,  255,  254
  80,  255,  255
  90,  255,  255
 100,  255,  253
 110,  250,  246
 120,  235,  234
 130,  217,  215
 140,  195,  194
 150,  171,  170
 160,  145,  145
 170,  119,  119
 180,   93,   93
 190,   68,   68
 200,   45,   46
 210,   25,   26
 220,    9,   11
 230,    0,    3
 240,    0,    0
 250,    0,    0
 260,    0,    0
 270,    0,    3
 280,    9,   11
 290,   25,   26
 300,   45,   46
 310,   68,   68
 320,   93,   93
 330,  119,  119
 340,  145,  145
 350,  171,  170
 360,  195,  194
 370,  217,  215
 380,  235,  234
 390,  250,  246
 400,  255,  253
 410,  255,  255
 420,  255,  255
 430,  255,  254
 440,  254,  250
 450,  241,  239
 460,  223,  222
 470,  203,  201
 480,  179,  178
 490,  154,  153
 500,  128,  127
 510,  101,  101
 520,   76,   76
 530,   52,   53
 540,   32,   32
 550,   14,   15
 560,    1,    5
 570,    0,    0
 580,    0,    0
 590,    0,    0
 600,    0,    1
 610,    5,    8
 620,   20,   21
 630,   38,   39
 640,   60,   60
 650,   84,   84
 660,  110,  110
 670,  136,  136
 680,  162,  161
 690,  187,  186
 700,  210,  209
 710,  230,  228
 720,  246,  243
 730,  255,  252
 740,  255,  255
 750,  255,  255
 760,  255,  255
 770,  255,  252
 780,  246,  243
 790,  230,  228
 800,  210,  209
 810,  187,  186
 820,  162,  161
 830,  136,  136
 840,  110,  110
 850,   84,   84
 860,   60,   60
 870,   38,   39
 880,   20,   21
 890,    5,    8
 900,    0,    1
 910,    0,    0
 920,    0,    0
 930,    0,    0
 940,    1,    5
 950,   14,   15
 960,   32,   32
 970,   52,   53
 980,   76,   76
 990,  101,  101
