# RIFF size: 55768
# fmt size: 16
# fmt ID: 1
# CH: 2
# Sampling rate: 22050
# Bytes per sec: 88200
# Block size: 4
# Q bit: 16
# datasize: 55684
0.045,36865,36866
0.091,36872,36869
0.136,36870,36865
0.181,36868,36863
0.227,36866,36866
0.272,36864,36865
0.317,36862,36866
0.363,36867,36864
0.408,36868,36864
0.454,36868,36865
0.499,36868,36863
0.544,36867,36867
0.590,36866,36863
0.635,36871,36865
0.680,36865,36867
0.726,36863,36865
0.771,36865,36863
0.816,36864,36863
0.862,36865,36865
0.907,36866,36865
0.952,36869,36864
0.998,36869,36868
1.043,36870,36865
1.088,36870,36864
1.134,36872,36864
1.179,36870,36865
1.224,36865,36866
1.270,36865,36865
1.315,36869,36864
1.361,36868,36868
1.406,36863,36865
1.451,36869,36863
1.497,36869,36864
1.542,36869,36867
1.587,36864,36864
1.633,36863,36864
1.678,36869,36865
1.723,36871,36867
1.769,36871,36864
1.814,36869,36863
1.859,36867,36865
1.905,36870,36868
1.950,36876,36866
1.995,36872,36868
2.041,36875,36867
2.086,36870,36865
2.132,36864,36863
2.177,36862,36863
2.222,36867,36864
2.268,36867,36865
2.313,36866,36867
2.358,36872,36868
2.404,36872,36866
2.449,36865,36863
2.494,36867,36864
2.540,36866,36863
2.585,36865,36864
2.630,36865,36865
2.676,36861,36866
2.721,36864,36865
2.766,36865,36863
2.812,36859,36862
2.857,36856,36860
2.902,36866,36863
2.948,36873,36867
2.993,36875,36865
3.039,36866,36866
3.084,36870,36864
3.129,36889,36870
3.175,36857,36863
3.220,36854,36863
3.265,36856,36862
3.311,36864,36863
3.356,36864,36864
3.401,36864,36865
3.447,36864,36864
3.492,36860,36862
3.537,36857,36863
3.583,36858,36863
3.628,36856,36864
3.673,36862,36864
3.719,36865,36863
3.764,36859,36864
3.810,36847,36859
3.855,36850,36860
3.900,36858,36860
3.946,36863,36863
3.991,36867,36864
4.036,36868,36863
4.082,36861,36863
4.127,36867,36866
4.172,36872,36864
4.218,36854,36862
4.263,36853,36863
4.308,36858,36865
4.354,36860,36860
4.399,36860,36863
4.444,36859,36862
4.490,36856,36861
4.535,36857,36863
4.580,36855,36861
4.626,36854,36860
4.671,36858,36863
4.717,36855,36863
4.762,36859,36861
4.807,36858,36859
4.853,36854,36859
4.898,36860,36863
4.943,36860,36864
4.989,36860,36861
5.034,36860,36860
5.079,36867,36861
5.125,36856,36862
5.170,36854,36863
5.215,36854,36862
5.261,36856,36864
5.306,36855,36864
5.351,36859,36862
5.397,36867,36864
5.442,36866,36863
5.488,36858,36859
5.533,36858,36861
5.578,36861,36863
5.624,36862,36863
5.669,36865,36864
5.714,36860,36844
5.760,36858,36842
5.805,36862,36854
5.850,36856,36860
5.896,36855,36859
5.941,36857,36860
5.986,36860,36862
6.032,36860,36851
6.077,36859,36856
6.122,36855,36851
6.168,36848,36861
6.213,36852,36876
6.259,36860,36872
6.304,36864,36863
6.349,36866,36862
6.395,36864,36859
6.440,36861,36859
6.485,36859,36847
6.531,36861,36852
6.576,36866,36865
6.621,36927,36920
6.667,37032,37032
6.712,37079,37074
6.757,37002,36993
6.803,36820,36810
6.848,36637,36643
6.893,36538,36548
6.939,36553,36548
6.984,36681,36675
7.029,36878,36876
7.075,37060,37054
7.120,37160,37145
7.166,37183,37185
7.211,37157,37168
7.256,37059,37074
7.302,36900,36921
7.347,36783,36766
7.392,36633,36622
7.438,36470,36465
7.483,36370,36357
7.528,36417,36408
7.574,36600,36588
7.619,36846,36842
7.664,37088,37079
7.710,37173,37159
7.755,37165,37141
7.800,37275,37277
7.846,37415,37432
7.891,37286,37302
7.937,36902,36906
7.982,36546,36545
8.027,36331,36328
8.073,36172,36152
8.118,36075,36038
8.163,36148,36108
8.209,36386,36363
8.254,36700,36684
8.299,37050,37044
8.345,37393,37383
8.390,37630,37618
8.435,37735,37741
8.481,37767,37801
8.526,37734,37779
8.571,37500,37539
8.617,37053,37083
8.662,36510,36508
8.707,35974,35959
8.753,35577,35537
8.798,35404,35336
8.844,35504,35431
8.889,35849,35783
8.934,36397,36340
8.980,37068,37027
9.025,37710,37697
9.070,38214,38224
9.116,38507,38548
9.161,38467,38535
9.206,38106,38175
9.252,37506,37560
9.297,36765,36788
9.342,35993,35984
9.388,35386,35349
9.433,35085,35014
9.478,35137,35057
9.524,35508,35430
9.569,36145,36083
9.615,36941,36889
9.660,37722,37703
9.705,38326,38327
9.751,38655,38691
9.796,38641,38710
9.841,38305,38378
9.887,37690,37760
9.932,36912,36956
9.977,36074,36080
10.023,35359,35327
10.068,34932,34864
10.113,34921,34830
10.159,35314,35220
10.204,35997,35917
10.249,36840,36781
10.295,37676,37654
10.340,38346,38340
10.385,38741,38772
10.431,38783,38856
10.476,38465,38558
10.522,37841,37922
10.567,37022,37071
10.612,36144,36153
10.658,35406,35390
10.703,34972,34910
10.748,34887,34793
10.794,35173,35079
10.839,35821,35734
10.884,36668,36598
10.930,37533,37502
10.975,38275,38274
11.020,38757,38791
11.066,38873,38944
11.111,38613,38701
11.156,38043,38120
11.202,37221,37293
11.247,36320,36348
11.293,35497,35492
11.338,34965,34924
11.383,34804,34727
11.429,35078,34973
11.474,35710,35612
11.519,36550,36483
11.565,37440,37408
11.610,38220,38218
11.655,38741,38765
11.701,38897,38962
11.746,38671,38753
11.791,38118,38205
11.837,37322,37397
11.882,36409,36447
11.927,35550,35561
11.973,34968,34938
12.018,34740,34671
12.063,34931,34841
12.109,35530,35437
12.154,36419,36344
12.200,37392,37354
12.245,38256,38251
12.290,38853,38879
12.336,39060,39125
12.381,38827,38916
12.426,38232,38323
12.472,37386,37468
