# RIFF size: 55768
# fmt size: 16
# fmt ID: 1
# CH: 2
# Sampling rate: 22050
# Bytes per sec: 88200
# Block size: 4
# Q bit: 16
# datasize: 55684
0.045,-65534,6356995
0.091,-65527,6356998
0.136,-65529,6356994
0.181,-65531,6356992
0.227,-65533,6356995
0.272,-65535,6356994
0.317,  -1,6356995
0.363,-65532,6356993
0.408,-65531,6356993
0.454,-65531,6356994
0.499,-65531,6356992
0.544,-65532,6356996
0.590,-65533,6356992
0.635,-65528,6356994
0.680,-65534,6356996
0.726,-65536,6356994
0.771,-65534,6356992
0.816,-65535,6356992
0.862,-65534,6356994
0.907,-65533,6356994
0.952,-65530,6356993
0.998,-65530,6356997
1.043,-65529,6356994
1.088,-65529,6356993
1.134,-65527,6356993
1.179,-65529,6356994
1.224,-65534,6356995
1.270,-65534,6356994
1.315,-65530,6356993
1.361,-65531,6356997
1.406,-65536,6356994
1.451,-65530,6356992
1.497,-65530,6356993
1.542,-65530,6356996
1.587,-65535,6356993
1.633,-65536,6356993
1.678,-65530,6356994
1.723,-65528,6356996
1.769,-65528,6356993
1.814,-65530,6356992
1.859,-65532,6356994
1.905,-65529,6356997
1.950,-65523,6356995
1.995,-65527,6356997
2.041,-65524,6356996
2.086,-65529,6356994
2.132,-65535,6356992
2.177,  -1,6356992
2.222,-65532,6356993
2.268,-65532,6356994
2.313,-65533,6356996
2.358,-65527,6356997
2.404,-65527,6356995
2.449,-65534,6356992
2.494,-65532,6356993
2.540,-65533,6356992
2.585,-65534,6356993
2.630,-65534,6356994
2.676,  -2,6356995
2.721,-65535,6356994
2.766,-65534,6356992
2.812,  -4,6422527
2.857,  -7,6422525
2.902,-65533,6356992
2.948,-65526,6356996
2.993,-65524,6356994
3.039,-65533,6356995
3.084,-65529,6356993
3.129,-65510,6356999
3.175,  -6,6356992
3.220,  -9,6356992
3.265,  -7,6422527
3.311,-65535,6356992
3.356,-65535,6356993
3.401,-65535,6356994
3.447,-65535,6356993
3.492,  -3,6422527
3.537,  -6,6356992
3.583,  -5,6356992
3.628,  -7,6356993
3.673,  -1,6356993
3.719,-65534,6356992
3.764,  -4,6356993
3.810, -16,6422524
3.855, -13,6422525
3.900,  -5,6422525
3.946,-65536,6356992
3.991,-65532,6356993
4.036,-65531,6356992
4.082,  -2,6356992
4.127,-65532,6356995
4.172,-65527,6356993
4.218,  -9,6422527
4.263, -10,6356992
4.308,  -5,6356994
4.354,  -3,6422525
4.399,  -3,6356992
4.444,  -4,6422527
4.490,  -7,6422526
4.535,  -6,6356992
4.580,  -8,6422526
4.626,  -9,6422525
4.671,  -5,6356992
4.717,  -8,6356992
4.762,  -4,6422526
4.807,  -5,6422524
4.853,  -9,6422524
4.898,  -3,6356992
4.943,  -3,6356993
4.989,  -3,6422526
5.034,  -3,6422525
5.079,-65532,6422526
5.125,  -7,6422527
5.170,  -9,6356992
5.215,  -9,6422527
5.261,  -7,6356993
